Experiment,Dataset,kclusters,nprobe,M,nbits,N,Recall,QPS,AF,Speedup,Silhouette,TrainingTime
exp1_sift_nprobe_1,sift,50,1,8,8,10,0.384600,,1.024892,39.64,0.043296,14.53
exp1_sift_nprobe_2,sift,50,2,8,8,10,0.460300,,1.007068,21.00,0.043296,14.93
exp1_sift_nprobe_5,sift,50,5,8,8,10,0.521100,,0.996600,8.61,0.043296,15.39
exp1_sift_nprobe_10,sift,50,10,8,8,10,0.531300,,0.995064,4.28,0.043296,15.37
exp1_sift_nprobe_20,sift,50,20,8,8,10,0.532800,,0.994836,2.32,0.043296,16.14
exp1_sift_nprobe_30,sift,50,30,8,8,10,0.532900,,0.994836,1.70,0.043296,16.10
exp2_mnist_nprobe_1,mnist,50,1,16,8,10,0.569000,,1.016203,25.64,0.070308,46.45
exp2_mnist_nprobe_2,mnist,50,2,16,8,10,0.692600,,0.996110,16.14,0.070308,46.32
exp2_mnist_nprobe_5,mnist,50,5,16,8,10,0.761200,,0.990811,8.44,0.070308,47.44
exp2_mnist_nprobe_10,mnist,50,10,16,8,10,0.771600,,0.990109,4.73,0.070308,47.36
exp2_mnist_nprobe_20,mnist,50,20,16,8,10,0.774400,,0.990109,2.60,0.070308,47.65
exp3_sift_M_4,sift,50,10,4,8,10,0.362400,,0.985512,4.71,0.043296,15.40
exp3_sift_M_8,sift,50,10,8,8,10,0.531300,,0.995064,4.33,0.043296,16.38
exp3_sift_M_16,sift,50,10,16,8,10,0.694000,,1.005140,3.71,0.043296,21.01
exp3_sift_M_32,sift,50,10,32,8,10,0.814000,,1.003606,3.12,0.043296,32.84
exp4_mnist_M_4,mnist,50,10,4,8,10,0.542800,,0.969487,5.15,0.070308,53.81
exp4_mnist_M_7,mnist,50,10,7,8,10,0.647000,,0.968000,5.32,0.070308,50.02
exp4_mnist_M_8,mnist,50,10,8,8,10,0.666000,,0.978677,5.21,0.070308,49.21
exp4_mnist_M_16,mnist,50,10,16,8,10,0.771600,,0.990109,4.86,0.070308,48.14
exp4_mnist_M_49,mnist,50,10,49,8,10,0.873200,,1.001286,5.63,0.070308,50.25
exp5_sift_k_20,sift,20,10,8,8,10,0.532700,,0.994836,1.96,0.060029,15.71
exp5_sift_k_64,sift,64,10,8,8,10,0.531900,,0.995056,5.56,0.042442,17.64
exp5_sift_k_126,sift,126,10,8,8,10,0.526200,,0.996276,10.18,0.035846,20.72
exp5_sift_k_256,sift,256,10,8,8,10,0.518700,,0.997870,15.14,0.035506,32.43
exp5_sift_k_512,sift,512,10,8,8,10,0.518500,,0.998242,14.51,0.039932,77.06
exp6_mnist_k_20,mnist,20,10,16,8,10,0.773000,,0.990243,2.14,0.076574,45.56
exp6_mnist_k_30,mnist,30,10,16,8,10,0.773600,,0.990322,3.10,0.069324,46.65
exp6_mnist_k_50,mnist,50,10,16,8,10,0.771600,,0.990109,4.72,0.070308,48.88
exp6_mnist_k_80,mnist,80,10,16,8,10,0.770600,,0.990197,6.58,0.064735,54.04
exp6_mnist_k_100,mnist,100,10,16,8,10,0.769800,,0.990253,10.36,0.065742,57.33
exp7_sift_nbits_4,sift,50,10,8,4,10,0.252100,,1.045069,4.50,0.043217,1.22
exp7_sift_nbits_6,sift,50,10,8,6,10,0.412000,,1.001195,4.40,0.043347,2.51
exp7_sift_nbits_8,sift,50,10,8,8,10,0.531300,,0.995064,4.33,0.043296,17.21
exp8_mnist_nbits_4,mnist,50,10,16,4,10,0.500800,,1.090842,5.77,0.070308,4.42
exp8_mnist_nbits_6,mnist,50,10,16,6,10,0.661800,,1.011932,5.58,0.070308,8.28
exp8_mnist_nbits_8,mnist,50,10,16,8,10,0.771600,,0.990109,4.81,0.070308,49.57
exp9_sift_N_1,sift,50,10,8,8,1,0.368000,,0.995064,4.31,0.043296,16.89
exp9_sift_N_5,sift,50,10,8,8,5,0.488600,,0.995064,4.27,0.043296,16.98
exp9_sift_N_10,sift,50,10,8,8,10,0.531300,,0.995064,4.33,0.043296,17.46
exp9_sift_N_20,sift,50,10,8,8,20,0.571050,,0.995064,4.28,0.043296,17.54
exp9_sift_N_50,sift,50,10,8,8,50,0.627720,,0.995064,4.26,0.043296,16.90
exp10_sift_speed,sift,25,1,8,8,10,0.414000,,1.018293,22.82,0.056130,16.42
exp10_sift_balanced,sift,50,5,8,8,10,0.521100,,0.996600,8.52,0.043296,17.14
exp10_sift_quality,sift,50,20,32,8,10,0.818400,,1.003419,1.70,0.043296,33.77
exp10_mnist_speed,mnist,25,2,8,8,10,0.635200,,0.983134,11.30,0.079067,46.81
exp10_mnist_balanced,mnist,50,5,16,8,10,0.761200,,0.990811,8.45,0.070308,48.84
exp10_mnist_quality,mnist,50,10,32,8,10,0.847200,,1.003338,4.28,0.070308,48.22
